Inventory Rattles 1000
Inventory Diapers 1000
Inventory Bottles 1000
Purchase customer928 Bottles 2
Purchase customer929 Rattles 3
Purchase customer930 Rattles 4
Purchase customer931 Bottles 4
Purchase customer932 Bottles 2
Purchase customer933 Diapers 2
Purchase customer934 Rattles 1
Purchase customer935 Diapers 4
Purchase customer936 Rattles 2
Purchase customer937 Bottles 1
Purchase customer938 Rattles 2
Purchase customer939 Rattles 1
Purchase customer940 Rattles 2
Purchase customer941 Diapers 2
Purchase customer942 Rattles 2
Purchase customer943 Bottles 2
Purchase customer944 Rattles 1
Purchase customer945 Bottles 2
Purchase customer946 Diapers 4
Purchase customer947 Diapers 3
Purchase customer948 Diapers 3
Purchase customer949 Bottles 2
Purchase customer950 Diapers 2
Purchase customer951 Diapers 3
Purchase customer952 Diapers 4
Purchase customer953 Rattles 2
Purchase customer954 Rattles 4
Purchase customer955 Rattles 3
Purchase customer956 Bottles 3
Purchase customer957 Bottles 2
Purchase customer958 Rattles 3
Purchase customer959 Bottles 4
Purchase customer960 Diapers 2
Purchase customer961 Rattles 1
Purchase customer962 Rattles 2
Purchase customer963 Rattles 1
Purchase customer964 Bottles 1
Purchase customer965 Diapers 1
Purchase customer966 Bottles 3
Purchase customer967 Bottles 1
Purchase customer968 Bottles 3
Purchase customer969 Bottles 2
Purchase customer970 Bottles 3
Purchase customer971 Rattles 1
Purchase customer972 Bottles 2
Purchase customer973 Bottles 1
Purchase customer974 Rattles 3
Purchase customer975 Bottles 2
Purchase customer976 Rattles 1
Purchase customer977 Bottles 1
Purchase customer978 Bottles 2
Purchase customer979 Bottles 4
Purchase customer980 Diapers 1
Purchase customer981 Diapers 4
Purchase customer982 Rattles 3
Purchase customer983 Bottles 4
Purchase customer984 Bottles 3
Purchase customer985 Bottles 2
Purchase customer986 Diapers 2
Purchase customer987 Bottles 2
Purchase customer988 Rattles 1
Purchase customer989 Diapers 2
Purchase customer990 Bottles 4
Purchase customer991 Bottles 2
Purchase customer992 Diapers 2
Purchase customer993 Bottles 3
Purchase customer994 Diapers 2
Purchase customer995 Bottles 4
Purchase customer996 Bottles 4
Purchase customer997 Rattles 1
Purchase customer998 Diapers 2
Purchase customer999 Rattles 4
Summarize
Quit
/** Test Results should be: **/
There are 195 Bottles 160 Diapers and 129 Rattles in inventory
we have had a total of 1000 different customers
customer0 has purchased the most Bottles (4)
customer10 has purchased the most Diapers (4)
customer5 has purchased the most Rattles (4)
